nome,nascimento,antiguidade,
Osni Assis Pereira,3/26/1947,28.1561643836,
Luiz Carlos de Carvalho Moreira,11/16/1955,28.1561643836,
Maurício Campos da Silva Velho,8/24/1958,28.1561643836,
Lavínio Donizetti Paschoalão,9/23/1958,28.1561643836,
Heloísa Martins Mimessi,7/11/1960,28.1178082192,
Paulo Gimenes Alonso,1/21/1956,27.5232876712,
José Antonio Lavouras Haicki,11/5/1956,26.8219178082,
Décio Divanir Mazeto,3/5/1947,26.6191780822,
Marcus Augustus de Augusto Púlice,8/3/1949,26.6191780822,
Paulo César Scanavez,2/1/1953,26.6191780822,
Eduardo Gesse,3/17/1957,26.6191780822,
Benjamim Simão Júnior,10/25/1958,26.6191780822,
José Henrique Rodrigues Torres,1/25/1959,26.6191780822,
Márcio Eid Sammarco,3/14/1959,26.6191780822,
João Batista de Mello Paula Lima,2/9/1960,26.6191780822,
Gersino Donizete do Prado,3/11/1961,26.6191780822,
Sulaiman Miguel Neto,3/21/1953,25.7808219178,
Nazir David Milano Filho,1/1/1960,25.7808219178,
Diniz Fernando Ferreira da Cruz,12/24/1960,25.7808219178,
Mauro Ruiz Daró,8/30/1962,25.7808219178,
Sérgio Leite Alfieri Filho,7/11/1963,25.7808219178,
Ana Cristina Ramos,6/13/1957,24.9835616438,
Alfredo Attié Júnior,6/14/1961,24.9835616438,
Durval Augusto Rezende Filho,5/30/1963,24.9835616438,
Marcos Pimentel Tamassia,11/25/1964,24.9835616438,
Elizabeth Lopes de Freitas,4/24/1964,24.9424657534,
Manoel Barbosa de Oliveira,4/25/1952,24.5534246575,
Benedito Antonio Okuno,6/28/1957,24.5534246575,
Carlos Castilho Aguiar França,6/5/1960,24.5534246575,
Mauricio Garibe,11/10/1961,24.5534246575,
Paulo Cícero Augusto Pereira,11/1/1962,24.5534246575,
Euripedes Gomes Faim Filho,7/27/1963,24.5534246575,
Jurandir de Abreu Júnior,12/11/1963,24.5534246575,
Julio Cesar Spoladore Dominguez,12/18/1963,24.5534246575,
Marcos Antonio Correa da Silva,1/29/1964,24.5534246575,
Eneida Meira Rocha de Freitas,3/14/1965,24.5534246575,
Ricardo Sevalho Gonçalves,9/13/1955,24.1671232877,
Mauricio Simões de Almeida Botelho Silva,3/4/1957,24.1671232877,
Sandra Regina Nostre Marques,10/26/1962,24.1671232877,
Thaís Cabaleiro Coutinho,11/5/1962,24.1671232877,
Jairo Oliveira Júnior,6/20/1963,24.1671232877,
Gilberto Ferreira da Cruz,5/15/1964,24.1671232877,
Dora Aparecida Martins,11/29/1954,23.7616438356,
Régis Rodrigues Bonvicino,2/25/1955,23.7616438356,
Silvia Maria Facchina Esposito Martinez,8/19/1955,23.7616438356,
Jayme Walmer de Freitas,4/1/1958,23.7616438356,
Ely Amioka,1/22/1959,23.7616438356,
Mauricio Henrique Guimarães Pereira Filho,1/10/1962,23.7616438356,
Alexandre Coelho,8/30/1963,23.7616438356,
Antonio Luiz Tavares de Almeida,12/14/1963,23.7616438356,
José Rubens Queiróz Gomes,4/16/1964,23.7616438356,
Angela Moreno Pacheco de Rezende Lopes,7/4/1964,23.7616438356,
João Antunes dos Santos Neto,12/24/1964,23.695890411,
Isabel Cristina Modesto Almada,2/18/1961,23.3479452055,
José Henrique Ursulino,5/7/1961,23.3479452055,
Rodolfo Pellizari,4/12/1962,23.3479452055,
Maria da Conceição Pinto Vendeiro,12/5/1962,23.3479452055,
Ana Maria Alonso Baldy Moreira Farrapo,6/19/1964,23.3479452055,
Daniela Ida Menegatti Milano,9/18/1964,23.3479452055,
Maristéla Tavares de Oliveira Farias,6/1/1965,23.3479452055,
Dácio Giraldi,7/8/1965,23.3479452055,
Clara Maria Araújo Xavier,7/10/1965,23.3479452055,
Fernanda Gomes Camacho,8/21/1965,23.3479452055,
Fernão Borba Franco,11/17/1965,23.3479452055,
Hertha Helena Rollemberg Padilha de Oliveira,1/25/1966,23.3479452055,
Cristiane Sampaio Alves Mascari Bonilha,5/18/1966,23.3479452055,
Luis Augusto Freire Teotonio,10/25/1966,23.3479452055,
Paola Christina Calabró Lorena de Oliveira,10/28/1966,23.3479452055,
Nilton Santos Oliveira,7/2/1957,22.9589041096,
José Vitor Teixeira de Freitas,5/1/1958,22.9589041096,
João Carlos Calmon Ribeiro,8/20/1958,22.9589041096,
Silvana Malandrino Mollo,4/7/1959,22.9589041096,
Maria do Carmo Honorio,6/28/1959,22.9589041096,
Maria Salete Corrêa Dias,11/1/1960,22.9589041096,
Cláudio Pereira França,4/23/1961,22.9589041096,
Freddy Lourenço Ruiz Costa,5/21/1962,22.9589041096,
José Marcelo Tossi Silva,7/20/1962,22.9589041096,
Marcia de Souza Donini Dias Leite,10/15/1962,22.9589041096,
Raul Khairallah de Oliveira e Silva,3/28/1963,22.9589041096,
Rodolfo César Milano,10/17/1963,22.9589041096,
Adilson Paukoski Simoni,11/13/1963,22.9589041096,
Jair de Souza,11/17/1963,22.9589041096,
Marco Aurélio Pelegrini de Oliveira,4/21/1964,22.9589041096,
Heitor Donizete de Oliveira,9/13/1964,22.9589041096,
Marco Fábio Morsello,10/7/1964,22.9589041096,
Tania Mara Ahualli,12/13/1964,22.9589041096,
Érika Soares de Azevedo Mascarenhas,4/8/1965,22.9589041096,
Marcos Fleury Silveira de Alvarenga,4/30/1965,22.9589041096,
João Baptista Galhardo Júnior,8/22/1965,22.9589041096,
Klaus Marouelli Arroyo,11/18/1965,22.9589041096,
Elias Junior de Aguiar Bezerra,5/14/1966,22.9589041096,
Ademir Modesto de Souza,10/11/1966,22.9589041096,
Maria de Fátima dos Santos Gomes Muniz de Oliveira,10/25/1966,22.9589041096,
Marcos Alexandre Coelho Zilli,12/22/1966,22.9589041096,
Luciano Franchi Lemes,1/26/1967,22.9589041096,
Daniela Maria Cilento Morsello,6/3/1967,22.9589041096,
Mário Gaiara Neto,7/5/1967,22.9589041096,
Francisco Carlos Inouye Shintate,7/7/1967,22.9589041096,
Paulo Baccarat Filho,8/24/1951,22.1150684932,
José Luiz de Carvalho,12/24/1953,22.1150684932,
Benedito Roberto Garcia Pozzer,4/15/1956,22.1150684932,
Claudia de Lima Menge,8/7/1957,22.1150684932,
Fernando Florido Marcondes,9/26/1958,22.1150684932,
Claudio Teixeira Villar,7/11/1961,22.1150684932,
Nelson Becker,5/28/1962,22.1150684932,
Ana Luiza Villa Nova,7/6/1962,22.1150684932,
José Eduardo Marcondes Machado,12/29/1962,22.1150684932,
Mário Daccache,11/8/1963,22.1150684932,
Michel Chakur Farah,2/18/1964,22.1150684932,
Grakiton Satiro Aragão,7/28/1964,22.1150684932,
Manoel Luiz Ribeiro,9/7/1964,22.1150684932,
Hugo Leandro Maranzano,11/13/1964,22.1150684932,
Jayme Martins de Oliveira Neto,5/4/1965,22.1150684932,
Marco Antonio Botto Muscari,9/26/1965,22.1150684932,
Paulo Jorge Scartezzini Guimarães,10/11/1965,22.1150684932,
José Augusto Genofre Martins,2/2/1966,22.1150684932,
Marcus Vinicius Rios Gonçalves,2/8/1966,22.1150684932,
Alexandre David Malfatti,7/24/1966,22.1150684932,
Anna Paula Dias da Costa,7/30/1966,22.1150684932,
João Pedro Bressane de Paula Barbosa,7/31/1966,22.1150684932,
José Ernesto de Souza Bittencourt Rodrigues,10/19/1966,22.1150684932,
Valentino Aparecido de Andrade,1/20/1967,22.1150684932,
Maria Fernanda de Toledo Rodovalho,2/22/1967,22.1150684932,
André Carvalho e Silva de Almeida,7/1/1967,22.1150684932,
Jucimara Esther de Lima Bueno,10/14/1967,22.1150684932,
Wilson Lisboa Ribeiro,11/17/1967,22.1150684932,
Rogério Marrone de Castro Sampaio,1/21/1968,22.1150684932,
Edison Tetsuzo Namba,1/25/1968,22.1150684932,
Enéas Costa Garcia,2/17/1968,22.1150684932,
Márcio Antonio Boscaro,3/1/1968,22.1150684932,
Marcia Tessitore,1/28/1952,21.5178082192,
Ana Lucia Fernandes Queiroga,1/23/1960,21.5178082192,
Joel Birello Mandelli,3/21/1961,21.5178082192,
Elaine Cristina Monteiro Cavalcante,7/15/1962,21.5178082192,
Eduardo Moretzsohn de Castro,8/18/1962,21.5178082192,
Maria dos Anjos Garcia de Alcaraz da Fonseca,8/13/1963,21.5178082192,
Marco Antonio Martin Vargas,10/16/1963,21.5178082192,
Fernando Figueiredo Bartoletti,4/10/1964,21.5178082192,
Gislayne Fatima de Oliveira Martins Candido,5/26/1964,21.5178082192,
Ulysses de Oliveira Gonçalves Junior,4/18/1965,21.5178082192,
José Ricardo Santini Antonietto,7/24/1965,21.5178082192,
José Tadeu Picolo Zanoni,11/16/1966,21.5178082192,
Marcos Soares Machado,11/18/1966,21.5178082192,
Carlos Bortoletto Schmitt Corrêa,1/12/1967,21.5178082192,
Maria Silvia Gomes Sterman,4/6/1967,21.5178082192,
Adriana Borges de Carvalho,6/10/1967,21.5178082192,
Deborah Ciocci,10/12/1967,21.5178082192,
Fátima Vilas Boas Cruz,1/29/1968,21.5178082192,
Jorge Tosta,4/18/1968,21.5178082192,
Mário Roberto Negreiros Velloso,6/24/1968,21.5178082192,
Jane Franco Martins Bertolini Serra,2/9/1967,21.4191780822,
Emerson Sumariva Júnior,12/16/1967,22.1150684932,
Ary Casagrande Filho,1/11/1969,19.7479452055,
Guilherme Ferreira da Cruz,3/2/1971,18.0054794521,
Enio Móz Godoy,3/12/1962,20.4520547945,
Luís Geraldo Sant'Ana Lanfredi,3/18/1973,16.7863013699,
Alfredo Luiz Gonçalves,5/16/1957,28.7643835616,
Emílio Migliano Neto,1/27/1958,28.7643835616,
Benedito Sérgio de Oliveira,11/28/1960,25.7808219178,
Mauro Antonini,5/8/1964,24.9835616438,
Julio Cesar Silva de Mendonça Franco,1/9/1962,24.5534246575,
Paulo César Gentile,5/24/1963,24.5534246575,
Guaracy Sibille Leite,5/29/1962,24.1671232877,
José Carlos Metroviche,9/22/1959,23.7616438356,
Teresa de Almeida Ribeiro Magalhães,9/10/1963,23.7616438356,
Roberto Chiminazzo Júnior,11/30/1963,23.7616438356,
Regina Aparecida Caro Gonçalves,4/28/1966,23.7616438356,
Carlos Alberto Crisostomo,8/1/1945,23.3479452055,
Francisco Camara Marques Pereira,11/27/1962,23.3479452055,
Aparecida Angélica Correia,3/31/1963,23.3479452055,
Gilberto Luiz Carvalho Franceschini,2/12/1964,23.3479452055,
Milton Coutinho Gordo,9/25/1964,23.3479452055,
Egon Barros de Paula Araújo,11/15/1966,23.3479452055,
Leyla Maria da Silva Lacaz,2/22/1963,22.9589041096,
José Romano Lucarini,10/27/1963,22.9589041096,
Angela Martinez Heinrich,8/30/1964,22.9589041096,
Fausto José Martins Seabra,10/16/1965,22.9589041096,
Rogério Murillo Pereira Cimino,12/14/1965,22.9589041096,
José Wilson Gonçalves,4/25/1958,22.1150684932,
Paulo Luis Aparecido Treviso,12/21/1959,22.1150684932,
Edmundo Lellis Filho,10/26/1965,22.1150684932,
Luis Fernando Cirillo,12/23/1966,22.1150684932,
Antonio Carlos de Campos Machado Júnior,10/31/1967,22.1150684932,
Celso Alves de Rezende,4/23/1954,21.5178082192,
Fátima do Prado Marçura,1/16/1959,21.5178082192,
Olavo Sá Pereira da Silva,7/17/1960,21.5178082192,
Flavio Fenoglio Guimarães,10/31/1962,21.5178082192,
Egberto de Almeida Penido,1/15/1963,21.5178082192,
Fernando Augusto Fontes Rodrigues Junior,5/22/1964,21.5178082192,
Olavo Paula Leite Rocha,10/4/1964,21.5178082192,
Carlos Eduardo Prataviera,4/17/1965,21.5178082192,
Lidia Regina Rodrigues Monteiro Cabrini,5/16/1965,21.5178082192,
Simone Gomes Rodrigues Casoretti,9/7/1965,21.5178082192,
Celina Dietrich e Trigueiros Teixeira Pinto,12/2/1965,21.5178082192,
Célio de Almeida Mello,5/3/1966,21.5178082192,
Luis Fernando Nardelli,7/18/1966,21.5178082192,
Marcos de Lima Porta,10/15/1966,21.5178082192,
Maria Cecilia Monteiro Frazão,12/23/1966,21.5178082192,
Márcio Teixeira Laranjo,12/26/1966,21.5178082192,
Adaisa Bernardi Isaac Halpern,2/2/1967,21.5178082192,
Jorge Alberto Quadros de Carvalho Silva,4/11/1967,21.5178082192,
Ana Lucia Freitas Schmitt Corrêa,6/29/1967,21.5178082192,
Simone Curado Ferreira Oliveira,9/28/1967,21.5178082192,
João Roberto Casali da Silva,6/24/1968,21.5178082192,
Ricardo Pereira Junior,8/5/1968,21.5178082192,
Léa Maria Barreiros Duarte,3/22/1953,20.4520547945,
José Elias Themer,4/16/1955,20.4520547945,
Vicente Luiz Adua,7/5/1960,20.4520547945,
Dirce Alves Benedito,9/2/1960,20.4520547945,
Carlos Ortiz Gomes,10/28/1960,20.4520547945,
Paulo Roberto Ferreira Sampaio,9/25/1961,20.4520547945,
Caio Salvador Filardi,3/12/1962,20.4520547945,
Claudia Carneiro Calbucci Renaux,3/16/1962,20.4520547945,
José Roberto Cabral Longaretti,7/23/1962,20.4520547945,
Clarisse dos Reis Esteves,7/10/1963,20.4520547945,
Isaura Cristina Barreira,1/14/1964,20.4520547945,
Marcia Faria Mathey Loureiro,6/21/1965,20.4520547945,
Augusto Drummond Lepage,1/27/1966,20.4520547945,
Mônica Rodrigues Dias de Carvalho,1/28/1966,20.4520547945,
Cassiano Ricardo Figueiredo Nunes Franco Soares,9/7/1966,20.4520547945,
Jefferson Barbin Torelli,5/9/1967,20.4520547945,
Wagner Carvalho Lima,9/7/1967,20.4520547945,
Vitor Frederico Kümpel,12/3/1967,20.4520547945,
Adevanir Carlos Moreira da Silveira,12/11/1967,20.4520547945,
Sidney Tadeu Cardeal Banti,1/3/1968,20.4520547945,
Rodrigo Capez,4/12/1968,20.4520547945,
Márcia Cardoso,8/13/1968,20.4520547945,
João Augusto Garcia,10/15/1968,20.4520547945,
Richard Paulro Pae Kim,10/23/1968,20.4520547945,
Renata William Rached Catelli,11/16/1968,20.4520547945,
Márcio Kammer de Lima,12/23/1968,20.4520547945,
Rosana Moreno Santiso,4/6/1969,20.4520547945,
Paulo Guilherme Amaral Toledo,5/4/1969,20.4520547945,
Sidney da Silva Braga,5/14/1969,20.4520547945,
Marcello Ovidio Lopes Guimarães,11/3/1967,20.3835616438,
Ezequiel Teixeira da Mota,10/29/1960,19.7479452055,
Rui Porto Dias,1/22/1963,19.7479452055,
Paulo Lúcio Nogueira Filho,10/18/1964,19.7479452055,
Domingos de Siqueira Frascino,1/30/1965,19.7479452055,
Marcelo Ielo Amaro,8/31/1965,19.7479452055,
Luís Mauricio Sodré de Oliveira,12/22/1965,19.7479452055,
Paulo Sérgio Mangerona,2/9/1966,19.7479452055,
Marcelo Benacchio,3/17/1966,19.7479452055,
Paulo Issamu Nagao,5/19/1966,19.7479452055,
Waldir Calciolari,2/11/1967,19.7479452055,
Pedro Paulo Ferronato,12/19/1967,19.7479452055,
Simone Viegas de Moraes Leme,4/28/1968,19.7479452055,
Inah de Lemos e Silva Machado,5/22/1968,19.7479452055,
Marco Antonio Barbosa de Freitas,8/24/1968,19.7479452055,
Fatima Cristina Ruppert Mazzo,1/7/1969,19.7479452055,
Claudia Sarmento Monteleone,6/16/1969,19.7479452055,
Paulo Roberto Zaidan Maluf,6/20/1969,19.7479452055,
Mariella Ferraz de Arruda Pollice Nogueira,2/2/1970,19.7479452055,
Antonio Maria Patiño Zorz,3/14/1970,19.7479452055,
Guilherme Santini Teodoro,4/21/1970,19.7479452055,
José Paulo Camargo Magano,8/28/1963,18.9178082192,
Wander Pereira Rossette Júnior,1/5/1965,18.9178082192,
Patricia Alvares Cruz,3/26/1968,18.9178082192,
Marcos Roberto de Souza Bernicchi,4/6/1969,18.9178082192,
Airton Pinheiro de Castro,6/16/1969,18.9178082192,
Antonio Carlos Santoro Filho,5/11/1970,18.9178082192,
Alexandre Bucci,8/29/1970,18.9178082192,
Mara Regina D'Agnessa Trippo Kimura,12/6/1970,18.9178082192,
Mario Chiuvite Júnior,4/28/1969,18.0054794521,
Luís Eduardo Scarabelli,6/7/1969,18.0054794521,
João Battaus Neto,4/8/1970,18.0054794521,
Evandro Takeshi Kato,10/4/1970,18.0054794521,
Arthur de Paula Gonçalves,8/25/1965,16.7863013699,
Nilson Wilfred Ivanhoé Pinheiro,5/19/1956,28.7643835616,
Silvio Moura Sales,4/19/1962,27.5232876712,
Luiz Roberto Xavier,12/28/1962,26.6191780822,
Caio Ventosa Chaves,7/27/1961,24.9835616438,
Marco Aurélio Paioletti Martins Costa,12/21/1963,24.5534246575,
Wilson Lima da Silva,1/17/1956,24.1671232877,
Pedro Luiz Alves de Carvalho,6/29/1958,23.7616438356,
Valdeci Mendes de Oliveira,2/18/1959,23.3479452055,
Vilson Palaro Júnior,12/16/1963,23.3479452055,
Abelardo de Azevedo Silveira,2/1/1965,23.3479452055,
Orlando Brossi Júnior,9/2/1965,23.3479452055,
Maria Letícia Pozzi Buassi,2/16/1966,23.3479452055,
Wellington José Prates,7/9/1957,22.9589041096,
Teresa Cristina Castrucci Tambasco Antunes,4/18/1964,22.9589041096,
José Mauricio Conti,10/29/1965,22.9589041096,
Claudio do Prado Amaral,5/13/1966,22.9589041096,
Paulo Campos Filho,10/16/1950,22.1150684932,
João Thomaz Diaz Parra,10/30/1958,22.1150684932,
Alvaro Luiz Valery Mirra,8/26/1962,22.1150684932,
Henrique Nader,3/20/1966,22.1150684932,
Selma Baldança Marques Guimarães,5/8/1954,21.5178082192,
Marisa da Costa Alves Ferreira,1/1/1965,21.5178082192,
Sueli Zeraik Oliveira Armani,5/22/1966,21.5178082192,
Lúcio Alberto Eneas da Silva Ferreira,5/3/1968,21.5178082192,
Silvio José Pinheiro dos Santos,6/13/1968,21.5178082192,
Thomaz Carvalhaes Ferreira,8/15/1968,21.5178082192,
Luciana Simon de Paula Leite,10/27/1966,21.5095890411,
Antonio de Oliveira Angrisani Filho,4/22/1959,20.4520547945,
Jose Fernando Azevedo Minhoto,8/18/1960,20.4520547945,
Guilherme da Costa Manso Vasconcellos,2/27/1962,20.4520547945,
José Antonio Siqueira Nunes de Faria,6/13/1962,20.4520547945,
Viviane Nobrega Maldonado,4/30/1964,20.4520547945,
Cesar Luís de Souza Pereira,5/11/1964,20.4520547945,
Heliana Maria Coutinho Hess,10/19/1964,20.4520547945,
Carlos Alberto Corrêa de Almeida Oliveira,2/24/1965,20.4520547945,
Adriana Faccini Rodrigues,1/19/1967,20.4520547945,
Soraia Lorenzi Buso,10/27/1967,20.4520547945,
Cynthia Thomé,11/27/1967,20.4520547945,
Renata Soubhie Nogueira Borio,8/26/1968,20.4520547945,
Flavio de Oliveira Cesar,1/23/1969,20.4520547945,
Ubirajara Maintinguer,1/1/1965,19.7479452055,
Luiz Francisco Tromboni,11/25/1965,19.7479452055,
José Evandro Mello Costa,9/15/1966,19.7479452055,
Ronnie Herbert Barros Soares,12/23/1967,19.7479452055,
Patrícia Helena Hehl Forjaz de Toledo,3/4/1968,19.7479452055,
Marcelo Matias Pereira,4/6/1968,19.7479452055,
Rogério Danna Chaib,5/8/1968,19.7479452055,
Lucilia Alcione Prata,5/9/1968,19.7479452055,
Ilona Marcia Bittencourt Cruz Faggioni,8/9/1969,19.7479452055,
Marcello do Amaral Perino,11/20/1969,19.7479452055,
Marcia Rezende Barbosa de Oliveira,12/12/1969,19.7479452055,
Ana Paula Sampaio de Queiroz Bandeira Lins,3/27/1964,18.9178082192,
Antonio Conehero Júnior,1/29/1966,18.9178082192,
Cintia Adas Abib,4/5/1966,18.9178082192,
Eduardo Francisco Marcondes,5/22/1966,18.9178082192,
Maria Cecília Leone,12/12/1966,18.9178082192,
Adriana Sachsida Garcia,10/30/1967,18.9178082192,
Daniela Martins de Castro Mariani Cavallanti,10/4/1968,18.9178082192,
Wilson Julio Zanluqui,7/26/1969,18.9178082192,
Sergio da Costa Leite,8/18/1969,18.9178082192,
Andréa Castillo Garcia Paranhos,7/4/1970,18.9178082192,
Yin Shin Long,12/26/1964,18.0054794521,
Claudia Maria Carbonari de Faria,10/30/1965,18.0054794521,
Carlos Eduardo Borges Fantacini,2/4/1966,18.0054794521,
Antonio Carlos de Figueiredo Negreiros,12/8/1966,18.0054794521,
Flavia Beatriz Gonçalez da Silva,6/22/1967,18.0054794521,
Marcos Alexandre Bronzatto Pagan,6/28/1967,18.0054794521,
Marcio Bonetti,11/26/1967,18.0054794521,
Luís Fernando Cardinale Opdebeeck,1/24/1968,18.0054794521,
Paulo Eduardo de Almeida Sorci,2/6/1968,18.0054794521,
João José Custodio da Silveira,8/30/1970,18.0054794521,
Érika Christina de Lacerda Brandão Raskin,4/2/1971,18.0054794521,
Rubens Hideo Arai,8/13/1971,18.0054794521,
